clientid,EventProcessedUtcTime,contouren,afwijking,voorgrond,beweging,helderheid,richting,leftoutcounter,rightoutcounter,objecten,leftcounter,rightcounter,upcounter,downcounter,undeterminedcounter
CAM02,2018-03-31T02:14:13.5443126Z,16,202,99,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.6803987Z,132,250,58,1,12,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:13.5443126Z,20,220,99,1,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:16.4169202Z,8,183,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.4325484Z,121,237,64,9,4,heading: ^,0,0, 2,0,0,1,0,1
CAM??,2018-03-31T02:13:54.2429126Z,122,237,65,57,0,heading: ^,0,0, 1,0,0,1,0,0
CAM02,2018-03-31T02:14:13.5106661Z,14,211,99,1,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:16.3856708Z,8,176,99,0,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:13.5106661Z,129,246,64,54,2,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5262734Z,189,306,52,52,26,UNDETERMINED,0,0, 4,0,0,0,0,4
CAM02,2018-03-31T02:14:13.5443126Z,19,192,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:53.6803987Z,13,178,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5575248Z,208,311,59,50,12,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM02,2018-03-31T02:14:16.4169202Z,10,183,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.4325484Z,179,296,63,28,4,UNDETERMINED,0,0, 5,0,0,0,0,5
CAM02,2018-03-31T02:13:54.2429126Z,10,181,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,97,225,77,87,0,UNDETERMINED,0,0, 4,0,0,0,0,4
CAM02,2018-03-31T02:14:16.3856708Z,9,192,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,72,202,78,87,0,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM02,2018-03-31T02:14:13.5262734Z,9,173,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5443126Z,158,268,60,13,11,heading: ->,1,0, 4,0,1,0,0,3
CAM??,2018-03-31T02:13:54.2429126Z,161,275,56,23,21,UNDETERMINED,1,0, 3,0,0,0,0,3
CAM02,2018-03-31T02:14:14.1044308Z,17,226,98,2,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:16.4169202Z,11,204,100,1,1,heading: ->,0,0, 1,0,1,0,0,0
CAM??,2018-03-31T02:14:16.4325484Z,82,217,71,17,1,UNDETERMINED,1,0, 3,1,1,0,0,1
CAM02,2018-03-31T02:13:54.2429126Z,16,211,99,0,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:13.5106661Z,112,235,67,5,6,heading: <-,1,0, 4,1,0,0,0,3
CAM02,2018-03-31T02:14:16.3856708Z,17,192,98,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,134,246,61,76,6,UNDETERMINED,1,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:13.5443126Z,153,253,54,10,16,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:13.5443126Z,8,188,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:54.2429126Z,9,185,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.1044308Z,140,269,61,38,18,UNDETERMINED,1,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:16.4169202Z,7,184,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.4325484Z,106,258,70,6,7,heading: v,1,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:14:16.3856708Z,77,197,75,11,3,heading: v,1,0, 1,0,0,0,1,0
CAM02,2018-03-31T02:14:14.0887889Z,10,176,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:13.5443126Z,81,53,9,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
